Step,commformer_1c3s5z_single_lf_seed1 - incre_win_rate,commformer_1c3s5z_single_lf_seed2 - incre_win_rate,commformer_1c3s5z_single_lf_seed3 - incre_win_rate,happo_1c3s5z_10v10_seed1 - incre_win_rate,happo_1c3s5z_10v10_seed2 - incre_win_rate,happo_1c3s5z_10v10_seed3 - incre_win_rate,mappo_1c3s5z_10v10_seed1 - incre_win_rate,mappo_1c3s5z_10v10_seed2 - incre_win_rate,mappo_1c3s5z_10v10_seed3 - incre_win_rate,mat_1c3s5z_10v10_seed1 - incre_win_rate,mat_1c3s5z_10v10_seed2 - incre_win_rate,mat_1c3s5z_10v10_seed3 - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MIN,commformer_1c3s5z_single_lf_seed1_FC - incre_win_rate__MAX
1347200,0.985865724,0.985865724,0.985865724,0.937728938,0.956834532,0.975,0.890688259,0.864541833,0.819742489,0.459090909,0.567708333,0.567708333,0.9539007092198581,0.9539007092198581,0.9539007092198581
1363200,0.960992908,0.960992908,0.960992908,0.934615385,0.954225352,0.971631206,0.893877551,0.861344538,0.866666667,0.458128079,0.414634146,0.414634146,0.927797833935018,0.927797833935018,0.927797833935018
1379200,0.96641791,0.96641791,0.96641791,0.947169811,0.982269504,0.971731449,0.898373984,0.899598394,0.85106383,0.475961538,0.346938776,0.346938776,0.9528985507246377,0.9528985507246377,0.9528985507246377
1395200,0.946996466,0.946996466,0.946996466,0.948339483,0.978417266,0.993079585,0.911290323,0.880478088,0.835443038,0.505,0.218543046,0.218543046,0.9316546762589928,0.9316546762589928,0.9316546762589928
1411200,0.954385965,0.954385965,0.954385965,0.951672862,0.972125436,0.975438596,0.893004115,0.912350598,0.80349345,0.555,0.278787879,0.278787879,0.9343065693430657,0.9343065693430657,0.9343065693430657
1427200,0.946619217,0.946619217,0.946619217,0.952380952,0.975694444,0.971731449,0.923694779,0.91902834,0.798245614,0.510204082,0.258215962,0.258215962,0.9311594202898551,0.9311594202898551,0.9311594202898551
1443200,0.931654676,0.931654676,0.931654676,0.939622642,0.965034965,0.975265018,0.906882591,0.919354839,0.83982684,0.457286432,0.241025641,0.241025641,0.9358490566037736,0.9358490566037736,0.9358490566037736
1459200,0.934065934,0.934065934,0.934065934,0.941818182,0.960992908,0.968858131,0.926640927,0.88185654,0.854700855,0.447916667,0.206896552,0.206896552,0.9326241134751773,0.9326241134751773,0.9326241134751773
1475200,0.957295374,0.957295374,0.957295374,0.963636364,0.964539007,0.978723404,0.884615385,0.875518672,0.847826087,0.468421053,0.209302326,0.209302326,0.9358108108108109,0.9358108108108109,0.9358108108108109
1491200,0.953900709,0.953900709,0.953900709,0.956363636,0.98943662,0.975438596,0.937984496,0.910931174,0.915254237,0.457142857,0.240566038,0.240566038,0.9342560553633218,0.9342560553633218,0.9342560553633218
1507200,0.938405797,0.938405797,0.938405797,0.956363636,0.976027397,0.96350365,0.938461538,0.901639344,0.902953586,0.473958333,0.253731343,0.253731343,0.9321428571428572,0.9321428571428572,0.9321428571428572
1523200,0.948717949,0.948717949,0.948717949,0.949458484,0.967741935,0.972222222,0.888030888,0.899159664,0.876068376,0.365979381,0.274853801,0.274853801,0.9265734265734266,0.9265734265734266,0.9265734265734266
1539200,0.916967509,0.916967509,0.916967509,0.944649446,0.935251799,0.993055556,0.881226054,0.898373984,0.837104072,0.40201005,0.361904762,0.361904762,0.9333333333333333,0.9333333333333333,0.9333333333333333
1555200,0.954198473,0.954198473,0.954198473,0.960144928,0.979452055,0.979094077,0.927480916,0.870292887,0.887445887,0.388059701,0.269607843,0.269607843,0.9568345323741008,0.9568345323741008,0.9568345323741008
1571200,0.9609375,0.9609375,0.9609375,0.914179104,0.967857143,0.952205882,0.902723735,0.927125506,0.80733945,0.46031746,0.324561404,0.324561404,0.9565217391304348,0.9565217391304348,0.9565217391304348
1587200,0.974264706,0.974264706,0.974264706,0.949090909,0.978947368,0.964412811,0.93385214,0.888446215,0.763636364,0.44278607,0.32,0.32,0.9492753623188406,0.9492753623188406,0.9492753623188406
1603200,0.929889299,0.929889299,0.929889299,0.93040293,0.954385965,0.979310345,0.843373494,0.889795918,0.764444444,0.419689119,0.333333333,0.333333333,0.9537366548042705,0.9537366548042705,0.9537366548042705
1619200,0.945525292,0.945525292,0.945525292,0.960288809,0.975945017,0.98245614,0.898113208,0.92578125,0.755656109,0.465686275,0.271551724,0.271551724,0.9563636363636364,0.9563636363636364,0.9563636363636364
1635200,0.94921875,0.94921875,0.94921875,0.944852941,0.964788732,0.979310345,0.921875,0.880658436,0.75,0.478672986,0.265306122,0.265306122,0.9366197183098591,0.9366197183098591,0.9366197183098591
1651200,0.944223108,0.944223108,0.944223108,0.949820789,0.975524476,0.968858131,0.918518519,0.898785425,0.752212389,0.544600939,0.247104247,0.247104247,0.926829268292683,0.926829268292683,0.926829268292683
1667200,0.961389961,0.961389961,0.961389961,0.959259259,0.975694444,0.986062718,0.882352941,0.913043478,0.752293578,0.5625,0.230125523,0.230125523,0.9017543859649123,0.9017543859649123,0.9017543859649123
1683200,0.942238267,0.942238267,0.942238267,0.948905109,0.964788732,0.975265018,0.884615385,0.904958678,0.739726027,0.490654206,0.218487395,0.218487395,0.9453924914675768,0.9453924914675768,0.9453924914675768
1699200,0.924460432,0.924460432,0.924460432,0.952205882,0.958041958,0.971631206,0.897338403,0.9,0.772093023,0.530805687,0.198275862,0.198275862,0.9195804195804196,0.9195804195804196,0.9195804195804196
1715200,0.95323741,0.95323741,0.95323741,0.938405797,0.982876712,0.961538462,0.889328063,0.908366534,0.793577982,0.450236967,0.231660232,0.231660232,0.9721254355400697,0.9721254355400697,0.9721254355400697
1731200,0.916363636,0.916363636,0.916363636,0.963898917,0.964912281,0.982332155,0.928301887,0.918367347,0.837209302,0.488687783,0.272727273,0.272727273,0.9548611111111112,0.9548611111111112,0.9548611111111112
1747200,0.967272727,0.967272727,0.967272727,0.959854015,0.961130742,0.975778547,0.923954373,0.933333333,0.761904762,0.425925926,0.234513274,0.234513274,0.9530201342281879,0.9530201342281879,0.9530201342281879
1763200,0.943661972,0.943661972,0.943661972,0.960714286,0.961672474,0.98245614,0.922178988,0.896414343,0.796296296,0.439814815,0.241706161,0.241706161,0.9685314685314685,0.9685314685314685,0.9685314685314685
1779200,0.958188153,0.958188153,0.958188153,0.926199262,0.965156794,0.953736655,0.943820225,0.91015625,0.793577982,0.346846847,0.215311005,0.215311005,0.9861111111111112,0.9861111111111112,0.9861111111111112
1795200,0.962711864,0.962711864,0.962711864,0.929104478,0.964664311,0.989726027,0.928030303,0.898785425,0.824324324,0.412017167,0.16097561,0.16097561,0.9246575342465754,0.9246575342465754,0.9246575342465754
1811200,0.965397924,0.965397924,0.965397924,0.964157706,0.953736655,1,0.891050584,0.911290323,0.795454545,0.387387387,0.225663717,0.225663717,0.9556313993174061,0.9556313993174061,0.9556313993174061
1827200,0.976027397,0.976027397,0.976027397,0.949090909,0.965517241,0.976190476,0.906367041,0.906614786,0.764705882,0.333333333,0.274678112,0.274678112,0.9618055555555556,0.9618055555555556,0.9618055555555556
1843200,0.962585034,0.962585034,0.962585034,0.971631206,0.957295374,0.975694444,0.870229008,0.880478088,0.860262009,0.274418605,0.324200913,0.324200913,0.9593220338983051,0.9593220338983051,0.9593220338983051
1859200,0.973244147,0.973244147,0.973244147,0.940740741,0.982517483,0.964912281,0.876404494,0.892857143,0.833333333,0.373056995,0.413793103,0.413793103,0.9693877551020408,0.9693877551020408,0.9693877551020408
1875200,0.972508591,0.972508591,0.972508591,0.96797153,0.968309859,0.95035461,0.90530303,0.92248062,0.840707965,0.252688172,0.523404255,0.523404255,0.9562289562289562,0.9562289562289562,0.9562289562289562
1891200,0.976271186,0.976271186,0.976271186,0.968085106,0.982758621,0.982817869,0.916030534,0.913043478,0.837104072,0.333333333,0.436619718,0.436619718,0.9470198675496688,0.9470198675496688,0.9470198675496688
1907200,0.98989899,0.98989899,0.98989899,0.970695971,0.976109215,0.989726027,0.921052632,0.910852713,0.765258216,0.311258278,0.446700508,0.446700508,0.9565217391304348,0.9565217391304348,0.9565217391304348
1923200,0.979020979,0.979020979,0.979020979,0.948717949,0.950877193,0.972125436,0.940298507,0.898832685,0.769585253,0.262068966,0.376344086,0.376344086,0.9692832764505119,0.9692832764505119,0.9692832764505119
1939200,0.982935154,0.982935154,0.982935154,0.971119134,0.961130742,0.989726027,0.920754717,0.931034483,0.791111111,0.282894737,0.509803922,0.509803922,0.9217081850533808,0.9217081850533808,0.9217081850533808
1955200,0.975694444,0.975694444,0.975694444,0.96350365,0.934065934,0.982698962,0.890977444,0.894941634,0.809734513,0.287581699,0.460465116,0.460465116,0.9471830985915493,0.9471830985915493,0.9471830985915493
1971200,0.968965517,0.968965517,0.968965517,0.960854093,0.982817869,0.982517483,0.893536122,0.937743191,0.806167401,0.391304348,0.506849315,0.506849315,0.9556313993174061,0.9556313993174061,0.9556313993174061
1987200,0.979661017,0.979661017,0.979661017,0.93040293,0.983221477,0.982817869,0.900383142,0.938697318,0.823788546,0.228915663,0.534391534,0.534391534,0.9466666666666667,0.9466666666666667,0.9466666666666667
